model,precision,recall,f1,top_level_f1,other_fields_f1,schema_validity
Baseline (Qwen Instruct),0.46958185669003255,0.47648774172460057,0.4680664746798327,0.5840383669134164,0.392833710092224,0.23333333333333334
Qwen2.5-1.5B (LoRA),0.7251073043090007,0.6761188018734878,0.6923572371943784,0.839736878446994,0.592305186532444,1.0
SmolLM2-1.7B (LoRA),0.6620019025818158,0.5700891409799954,0.6021202676449267,0.7318962070603512,0.5005582021419487,1.0
TinyLlama-1.1B (LoRA),0.5328120513457006,0.5027622093381497,0.5058463523928098,0.5214764105479044,0.49012489471217496,1.0
